QQQ		
QQQ股價歷史		
Date	Low	Close
2006-02-01	2.434172431	2.521632038
2006-03-01	2.425715326	2.624507613
2006-04-01	2.572732739	2.614502102
2006-05-01	2.19488837	2.249620051
2006-06-01	2.073744523	2.24382878
2006-07-01	1.896875	2.054688
2006-08-01	1.9625	2.240625
2006-09-01	2.16875	2.434375
2006-10-01	2.33875	2.653125
2006-11-01	2.53	2.813125
2006-12-01	2.503125	2.5325
2007-01-01	2.4625	2.607813
2007-02-01	2.453125	2.515313
2007-03-01	2.363438	2.530625
2007-04-01	2.495	2.795313
2007-05-01	2.755625	2.959688
2007-06-01	2.792188	2.972813
2007-07-01	2.9225	2.9375
2007-08-01	2.543125	3.060313
2007-09-01	2.927188	3.378125
2007-10-01	3.36	3.827188
2007-11-01	2.975	3.295625
2007-12-01	2.971875	3.100625
2008-01-01	2.016563	2.345313
2008-02-01	2.066563	2.148125
2008-03-01	1.937813	2.185938
2008-04-01	2.175938	2.526563
2008-05-01	2.529375	2.828125
2008-06-01	2.265625	2.292188
2008-07-01	2.091875	2.302188
2008-08-01	2.180313	2.34625
2008-09-01	1.4625	1.636875
2008-10-01	0.798125	1.086875
2008-11-01	0.61625	0.82625
2008-12-01	0.697188	0.840313
2009-01-01	0.73875	0.791563
2009-02-01	0.6975	0.70375
2009-03-01	0.608125	0.844063
2009-04-01	0.8125	1.06625
2009-05-01	0.985	1.128125
2009-06-01	1.09	1.190625
2009-07-01	1.05875	1.393125
2009-08-01	1.322813	1.430313
2009-09-01	1.36	1.592813
2009-10-01	1.478438	1.490625
2009-11-01	1.467813	1.67875
2009-12-01	1.657813	1.85875
2010-01-01	1.604375	1.616875
2010-02-01	1.564063	1.765
2010-03-01	1.778125	2.045
2010-04-01	2.010938	2.13125
2010-05-01	1.504375	1.805938
2010-06-01	1.573438	1.58125
2010-07-01	1.510625	1.810625
2010-08-01	1.586563	1.625625
2010-09-01	1.668438	2.071563
2010-10-01	1.99875	2.339688
2010-11-01	2.249063	2.32
2010-12-01	2.388438	2.544688
2011-01-01	2.586563	2.684375
2011-02-01	2.68875	2.850938
2011-03-01	2.460625	2.811563
2011-04-01	2.605938	2.97375
2011-05-01	2.708438	2.889063
2011-06-01	2.435	2.763438
2011-07-01	2.74375	2.847188
2011-08-01	2.080625	2.51625
2011-09-01	2.231563	2.279688
2011-10-01	2.074063	2.758438
2011-11-01	2.282188	2.587813
2011-12-01	2.399063	2.545625
2012-01-01	2.610625	2.985313
2012-02-01	2.99875	3.376563
2012-03-01	3.251875	3.717188
2012-04-01	3.377188	3.621563
2012-05-01	2.908125	3.116875
